uid,PublishDate,Type,Title,Platforms,CSA,Objective,SourceCategory,Campaign,Status,Notes
item-0020-a9e81b11,2026-01-19,Post,Azure AI summit预告,WeChat,AI Business Solutions,Conversion – Traffic,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0021-c886d7b3,2026-01-19,Post,Levi’s is becoming a Frontier Firm,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JAN
item-0022-d28f0a41,2026-01-20,Post,What’s next in AI: 7 trends to watch in 2026,"WeChat, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JAN
item-0023-52463251,2026-01-20,Post,普华永道案例,"WeChat Video, Toutiao, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 JAN
item-0024-d9e6f10c,2026-01-21,Post,Copilot Skilling Series 08,"WeChat Video, Toutiao, Douyin",AI Business Solutions,Consideration – Product Education,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0025-111fe772,2026-01-22,Post,AI有约-梁岩深度对谈,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0026-3f966dc8,2026-01-22,Post,春节系列1-春节倒计时开始！节前 To‑Do 都排好了!,Douyin,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 JAN
item-0027-eecacf86,2026-01-23,Post,Tiktok原创-Prompt 正确 vs 错误,"WeChat Video, Douyin",AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 JAN
item-0028-a7e829b4,2026-01-23,Post,春节系列1-春节倒计时开始！节前 To‑Do 都排好了!,WeChat,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 JAN
item-0029-702d1231,2026-01-25,Post,pending / 预留 - 神马战略合作,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0030-4d45a631,2026-01-26,Post,田老师海报,Bilibili,AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 JAN
item-0031-c5c84e0a,2026-01-26,Post,英矽智能案例,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0032-23aabd53,2026-01-27,Post,If Albert Einstein was around today，he'd be using Researcher,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JAN
item-0033-8dd75a5d,2026-01-27,Post,Ignite-Azure Copilot,Toutiao,AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JAN
item-0034-16e306be,2026-01-28,Post,Copilot Skilling Series 09,"WeChat Video, Toutiao, Bilibili",AI Business Solutions,Consideration – Product Education,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0035-c97076ab,2026-01-29,Post,AI at Work: 3 new patterns of work define AI-first companies,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 JAN
item-0036-8cb87c8e,2026-01-30,Post,Microsoft Azure Maia 200: Scott Guthrie EVP,"WeChat Video, Toutiao, Bilibili",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 JAN
item-0037-85bf68c5,2026-01-30,Post,微软大咖秀 - 第四期,WeChat Video,AI Business Solutions,Awareness – Advocacy,Local Stakeholder,,Planned,Imported from 2026 JAN
item-0038-c1d9881d,2026-01-30,Post,春节系列2-春节前你一定会用到的职场消息模板（春节前摸鱼）,WeChat,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 JAN
item-0039-4a7a955a,2026-02-02,Post,工作忙碌的同时，不要忘记用copilot,Douyin,AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 FEB
item-0040-fe94f4f2,2026-02-03,Post,Office PLUS更新,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 FEB
item-0041-f2886ee7,2026-02-03,Post,微软大咖秀 - 第五期,WeChat Video,AI Business Solutions,Awareness – Advocacy,Local Stakeholder,,Planned,Imported from 2026 FEB
item-0042-fde74997,2026-02-04,Post,Copilot Skilling Series 10,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Consideration – Product Education,Local Stakeholder,,Planned,Imported from 2026 FEB
item-0043-91de1f5f,2026-02-04,Post,春节系列3-春节放假通知，也可以好玩一点,"WeChat, Douyin",AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 FEB
item-0044-f01fdecf,2026-02-05,Post,AI有约-Roan快问快答,"WeChat Video, Douyin",AI Business Solutions,Awareness – Advocacy,Local Stakeholder,,Planned,Imported from 2026 FEB
item-0045-8331241e,2026-02-05,Post,微软广告年度大会,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 FEB
item-0046-347f19d5,2026-02-09,Post,5 time saving Copilot hacks,"WeChat, Douyin",AI Business Solutions,Consideration – Product Education,Global Content/CM Translation,,Planned,Imported from 2026 FEB
item-0047-448bee97,2026-02-09,Post,AI 有约 - Qi话题1：未来的公司会更小，一个人也能完成闭环,WeChat Video,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 FEB
item-0048-57bc589a,2026-02-10,Post,教学如何用copilot理解excel中的复杂公式,"WeChat Video, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 FEB
item-0049-df671c2a,2026-02-10,Post,春节系列1-春节倒计时开始！节前 To‑Do 都排好了! / +Surface 红包500,WeChat Video,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 FEB
item-0050-a36e082c,2026-02-11,Post,春节系列2-春节前你一定会用到的职场消息模板（春节前摸鱼） / +Surface红包500,WeChat Video,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 FEB
item-0051-e6fea03b,2026-02-11,Post,春节系列4-这个春节红包厚度，你一句话决定,Douyin,AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 FEB
item-0052-544ab772,2026-02-12,Post,AI有约-Roan深度对谈,"WeChat Video, Bilibili, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 FEB
item-0053-e73ea0a0,2026-02-12,Post,春节系列3-春节放假通知，也可以好玩一点 / +Surface红包红色500,WeChat Video,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 FEB
item-0054-09103cc7,2026-02-12,Post,春节系列4-这个春节红包厚度，你一句话决定 / +social 红包1500,WeChat,AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 FEB
item-0055-84554768,2026-02-13,Post,Edge 更新新春系列主题 / +Edge红包400/种*3,WeChat,AI Business Solutions,Awareness – Advocacy,Local Stakeholder,,Planned,Imported from 2026 FEB
item-0056-97f1a805,2026-02-13,Post,Qi春节祝福,WeChat Video,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 FEB
item-0057-f358d27e,2026-02-13,Post,Tiktok原创-年夜饭,Douyin,AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 FEB
item-0058-149d42d7,2026-02-13,Post,春节系列4-这个春节红包厚度，你一句话决定 / +Surface红包红色500,WeChat Video,AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 FEB
item-0059-c5e09e33,2026-02-14,Campaign,调休上班,,Others,Awareness – Broad Reach,Local Stakeholder,调休上班,Planned,Campaign/event imported from FY27 Operation Calendar 2026-02
item-0060-19b58f3a,2026-02-14,Post,Tiktok原创-年夜饭 / 500红包,WeChat Video,AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 FEB
item-0061-8c5d6dee,2026-02-16,Campaign,除夕,,Others,Awareness – Broad Reach,Local Stakeholder,除夕,Planned,Campaign/event imported from FY27 Operation Calendar 2026-02
item-0062-9c3981cf,2026-02-25,Post,春节系列5-开年收心10分钟,WeChat,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 FEB
item-0063-8acc2789,2026-02-26,Post,一件趣味Microsoft元素毛衣,Douyin,AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 FEB
item-0064-0e06c303,2026-02-26,Post,发票合同核对agent,WeChat Video,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 FEB
item-0065-5e51fe39,2026-02-27,Post,"Microsoft’s strategic AI datacenter planning enables seamless, large-scale NVIDIA Rubin deployments | Microsoft Azure Blog",WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 FEB
item-0066-687b4763,2026-02-27,Post,探索微软实验室的惊奇发现：模拟光学计算机,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 FEB
item-0067-87f461ec,2026-02-28,Campaign,调休上班,,Others,Awareness – Broad Reach,Local Stakeholder,调休上班,Planned,Campaign/event imported from FY27 Operation Calendar 2026-02
item-0068-159df9cd,2026-03-04,Post,AI Tour SH Announcement,"WeChat, Douyin",AI Business Solutions,Conversion – Traffic,Local Creation,,Planned,Imported from 2026 MAR
item-0069-977019c0,2026-03-04,Post,Judson财报案例,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 MAR
item-0070-f003daff,2026-03-05,Post,UN Climate Change partners with Microsoft to create Climate Data Hub,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Awareness – Reputation,Global Content Localization,,Planned,Imported from 2026 MAR
item-0071-d07f9af6,2026-03-08,Post,"女性特辑 - Vickie Zeng, Grace Han, Fei Chen & partners","WeChat, WeChat Video, Toutiao, Douyin",AI Business Solutions,Awareness – Advocacy,Local Stakeholder,,Planned,Imported from 2026 MAR
item-0072-acd97188,2026-03-08,Post,"（完整版）女性特辑 - Vickie Zeng, Grace Han, Fei Chen & partners",Bilibili,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAR
item-0073-7750b79a,2026-03-09,Post,How to use Copilot in PowerPoint to Make a Butterfly Presentation | Microsoft 365 - YouTube,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 MAR
item-0074-95db9596,2026-03-10,Post,AI Tour SH / Warm up video / -往年大会混剪,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 MAR
item-0075-11f6f0f7,2026-03-11,Post,Microsoft and Mercedes-AMG PETRONAS F1 Team unite to drive innovation from factory to circuit,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 MAR
item-0076-ac98f0ef,2026-03-12,Post,AI有约 - QI 第二期,WeChat Video,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAR
item-0077-42e46e90,2026-03-12,Post,工作中，我说的vs我实际想表达的,Douyin,AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 MAR
item-0078-a88681ba,2026-03-13,Post,Microsoft and Mercedes-AMG PETRONAS F1 Team unite to drive innovation from factory to circuit,Douyin,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 MAR
item-0079-d481086f,2026-03-16,Post,Build官宣,"WeChat, Douyin",AI Business Solutions,Conversion – Traffic,Global Content Localization,,Planned,Imported from 2026 MAR
item-0080-c2ac8533,2026-03-17,Post,Meet Copilot Cowork: A New Way of Getting Work Done,"WeChat Video, Toutiao, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 MAR
item-0081-dcf8cbc2,2026-03-18,Post,AI Tour SH / Agenda发布-测试哪个Session适合你,WeChat,AI Business Solutions,Conversion – Traffic,Local Creation,,Planned,Imported from 2026 MAR
item-0082-833ebb83,2026-03-18,Post,Plan a product launch workflow with Copilot Cowork,"WeChat Video, Toutiao, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 MAR
item-0083-6189b489,2026-03-19,Post,Organize your week with Copilot Cowork,"WeChat Video, Toutiao",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 MAR
item-0084-2aa6b0d1,2026-03-20,Post,AI有约 - QI 第三期,WeChat Video,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAR
item-0085-c66404ab,2026-03-20,Post,田老师AI Tour SH,Douyin,AI Business Solutions,Awareness – Fan Building,Local Creation,,Planned,Imported from 2026 MAR
item-0086-17240889,2026-03-23,Post,PR投稿制造业案例,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAR
item-0087-b8e2dbdf,2026-03-24,Post,How an AI tool is helping U.K. clinicians save time and be present with patients,"WeChat Video, Toutiao, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 MAR
item-0088-86c868dc,2026-03-25,Post,Show that blinking cursor who's boss with Agent Mode in Word,Douyin,AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 MAR
item-0089-425f556f,2026-03-26,Post,AI Tour SH / Welcome video / WQ,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 MAR
item-0090-efdf7eef,2026-03-26,Post,Show that blinking cursor who's boss with Agent Mode in Word,WeChat,AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 MAR
item-0091-bf5a543f,2026-03-27,Post,Powering weather intelligence predicting storms faster with AI using Microsoft Azure and NVIDIA GPUs.,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 MAR
item-0092-5791db77,2026-03-28,Post,PR活动投稿,WeChat,AI Business Solutions,Awareness – Advocacy,Local Stakeholder,,Planned,Imported from 2026 MAR
item-0093-c74841e7,2026-03-30,Post,PR活动投稿,WeChat,AI Business Solutions,Awareness – Advocacy,Local Stakeholder,,Planned,Imported from 2026 MAR
item-0094-0ae92e7c,2026-04-02,Post,AI Tour SH / Welcome video / 大字报,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 APR
item-0095-2711ef50,2026-04-03,Post,Premium League,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 APR
item-0096-a0cf362d,2026-04-03,Post,Premium League / 文中插入视频,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 APR
item-0097-92ef07b5,2026-04-04,Campaign,清明节,,Others,Awareness – Broad Reach,Local Stakeholder,清明节,Planned,Campaign/event imported from FY27 Operation Calendar 2026-04
item-0098-ae6f4e2d,2026-04-06,Campaign,清明节,,Others,Awareness – Broad Reach,Local Stakeholder,清明节,Planned,Campaign/event imported from FY27 Operation Calendar 2026-04
item-0099-ba4ba61d,2026-04-07,Post,Superconductors in datacenters: A breakthrough for power infrastructure,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 APR
item-0100-3de5881e,2026-04-08,Post,AI公益黑客松,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 APR
item-0101-e051148b,2026-04-08,Post,copilot voice如何自如转换语言,"WeChat Video, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 APR
item-0102-fdaacaae,2026-04-09,Post,AI Tour SH / Speaker posters,"WeChat, Douyin",AI Business Solutions,Conversion – Traffic,Local Creation,,Planned,Imported from 2026 APR
item-0103-a11c7116,2026-04-09,Post,PowerPoint Agent in Microsoft 365 Copilot,"WeChat Video, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 APR
item-0104-26623c91,2026-04-10,Post,AI有约-Janet Chen快问快答,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 APR
item-0105-c9441fd9,2026-04-13,Post,How to Create Daily Writing Prompts Using Copilot in Word,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 APR
item-0106-baa41c51,2026-04-14,Post,AI Tour SH / Count Down Poster - 7days,"WeChat, Douyin",AI Business Solutions,Conversion – Traffic,Local Stakeholder,,Planned,Imported from 2026 APR
item-0107-e04c4bf6,2026-04-15,Campaign,BizApps活动,,Others,Awareness – Broad Reach,Local Stakeholder,BizApps活动,Planned,Campaign/event imported from FY27 Operation Calendar 2026-04
item-0108-cd7fff4f,2026-04-15,Post,copilot in excel,"WeChat Video, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 APR
item-0109-ec55522b,2026-04-16,Post,AI@Work: Stop blaming AI and start deciding,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 APR
item-0110-ea447c11,2026-04-16,Post,Speak Finance with Copilot in Excel,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 APR
item-0111-cc9fa03b,2026-04-17,Post,午休/放松时间,Douyin,AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 APR
item-0112-75876096,2026-04-20,Post,AI Tour SH / Count Down Poster,"WeChat, Douyin",AI Business Solutions,Conversion – Traffic,Local Stakeholder,,Planned,Imported from 2026 APR
item-0113-9b14accf,2026-04-20,Post,POV1-小编探场,WeChat Video,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 APR
item-0114-b5e32aee,2026-04-20,Post,POV1小编探场,Douyin,AI Business Solutions,Consideration – Community,Local Creation,,Planned,Imported from 2026 APR
item-0115-dc662f89,2026-04-21,Campaign,AI Tour SH,,Others,Awareness – Broad Reach,Local Stakeholder,AI Tour SH,Planned,Campaign/event imported from FY27 Operation Calendar 2026-04
item-0116-d1c06207,2026-04-21,Post,AI Tour SH / PR annoucement,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 APR
item-0117-1b9e25f1,2026-04-21,Post,POV2,Douyin,AI Business Solutions,Consideration – Community,Local Creation,,Planned,Imported from 2026 APR
item-0118-a8689934,2026-04-21,Post,周大福案例,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 APR
item-0119-7999586f,2026-04-22,Post,AI Tour SH / Highlight Video,Douyin,AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 APR
item-0120-29c9c2ce,2026-04-22,Post,YingXi案例,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 APR
item-0121-109e6ff5,2026-04-23,Post,AI Tour SH / Highlight Video,"Toutiao, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 APR
item-0122-1ce67585,2026-04-23,Post,Build - 龙虾创始人 / Peter Steinberger / 与TW保持一致,"WeChat, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 APR
item-0123-d266853f,2026-04-23,Post,多点案例,"WeChat Video, Douyin",AI Business Solutions,Awareness – Fan Building,Local Stakeholder,,Planned,Imported from 2026 APR
item-0124-0e3b1025,2026-04-27,Post,AI Tour SH / This or That interview,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 APR
item-0125-af43ac23,2026-04-28,Post,AI有约-Janet Chen深度对谈,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 APR
item-0126-e3e0f869,2026-04-28,Post,AI有约-Janet Chen深度对谈 / 完整版23min,Bilibili,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 APR
item-0127-0d8c107b,2026-04-29,Post,Scaling insights into immunotherapy with GigaTIME,"WeChat Video, Toutiao, Bilibili, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 APR
item-0128-05dd3f1c,2026-04-30,Post,Labor Day Campaign / Bing team,WeChat,AI Business Solutions,Consideration – Product Education,Local Stakeholder,,Planned,Imported from 2026 APR
item-0129-36e849d1,2026-05-01,Campaign,劳动节,,Others,Awareness – Broad Reach,Local Stakeholder,劳动节,Planned,Campaign/event imported from FY27 Operation Calendar 2026-05
item-0130-67d26d46,2026-05-06,Post,预留Security视频 / - Kassidy,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Creation,,Planned,Imported from 2026 MAY
item-0131-83c4cc97,2026-05-07,Post,Build Session,"WeChat, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 MAY
item-0132-bd758079,2026-05-07,Post,Let Copilot in Excel turn it into a dashboard in seconds.,"WeChat Video, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 MAY
item-0133-cef29236,2026-05-08,Post,实用tips——当遇到另一个“#REF!”错误时，copilot in excel怎么帮助你,"WeChat Video, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 MAY
item-0134-27e0589a,2026-05-08,Post,深圳出海中心开业,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAY
item-0135-d8d5da39,2026-05-09,Campaign,调休上班,,Others,Awareness – Broad Reach,Local Stakeholder,调休上班,Planned,Campaign/event imported from FY27 Operation Calendar 2026-05
item-0136-9fd3105c,2026-05-11,Post,AI Tour 孵化器session,WeChat,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAY
item-0137-b5b70a81,2026-05-11,Post,"It’s serious business, I swear. / Outlook& Teams合并成一篇",Douyin,AI Business Solutions,Awareness – Fan Building,Global Content Localization,,Planned,Imported from 2026 MAY
item-0138-f663c38e,2026-05-12,Campaign,512纪念日静默,,Others,Awareness – Broad Reach,Local Stakeholder,512纪念日静默,Planned,Campaign/event imported from FY27 Operation Calendar 2026-05
item-0139-4bfbaf31,2026-05-13,Post,AI有约-Yue Ma / 快问快答,"WeChat Video, Douyin",AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAY
item-0140-65cb5581,2026-05-13,Post,纳斯达克案例,"WeChat, Toutiao",AI Business Solutions,Awareness – Broad reach – mindshare,Global Content Localization,,Planned,Imported from 2026 MAY
item-0141-0fae90f6,2026-05-14,Post,深圳出海中心投入使用,WeChat Video,AI Business Solutions,Awareness – Broad reach – mindshare,Local Stakeholder,,Planned,Imported from 2026 MAY
item-0142-64ea7c3b,2026-05-15,Post,Consideration – Product education,Douyin,AI Business Solutions,Global Content Localization,Local Creation,,Planned,Imported from 2026 MAY
item-0143-8e335522,2026-05-15,Post,Global Content Localization,Bilibili,AI Business Solutions,Consideration – Product Education,Local Creation,,Planned,Imported from 2026 MAY
item-0144-afe643c8,2026-05-15,Post,Microsoft 365 Copilot 在 PPT 中如何帮助你生成pitch,"WeChat Video, Toutiao, Douyin",AI Business Solutions,Consideration – Product Education,Global Content Localization,,Planned,Imported from 2026 MAY
item-0145-40d18a28,2026-05-19,Campaign,Surface announce 21:00,,Others,Awareness – Broad Reach,Local Stakeholder,Surface announce 21:00,Planned,Campaign/event imported from FY27 Operation Calendar 2026-05
